##### uCOS-II V2.84 Port V3.30 for WIN32 #####
   0: ***** Test Task 1 First call *****
   0: +++++ Test Task 40 +++++
   0: ***** Test Task 11 *****
   0: ***** Test Task 22 *****
   0: ***** Test Task 33 *****
   1: ***** Test Task 11 *****
   1: ***** Test Task 22 *****
   1: ***** Test Task 33 *****
   2: ***** Test Task 11 *****
   2: ***** Test Task 22 *****
   2: ***** Test Task 33 *****
   3: ***** Test Task 11 *****
   3: ***** Test Task 22 *****
   3: ***** Test Task 33 *****
   4: ***** Test Task 11 *****
   4: ***** Test Task 22 *****
   4: ***** Test Task 33 *****
   5: ***** Test Task 11 *****
   5: ***** Test Task 22 *****
   5: ***** Test Task 33 *****
   6: ***** Test Task 11 *****
   6: ***** Test Task 22 *****
   6: ***** Test Task 33 *****
   7: ***** Test Task 11 *****
   7: ***** Test Task 22 *****
   7: ***** Test Task 33 *****
   8: ***** Test Task 11 *****
   8: ***** Test Task 22 *****
   8: ***** Test Task 33 *****
   9: ***** Test Task 11 *****
   9: ***** Test Task 22 *****
   9: ***** Test Task 33 *****
  10: ***** Test Task 11 *****
  10: ***** Test Task 22 *****
  10: ***** Test Task 33 *****
  11: ***** Test Task 11 *****
  11: ***** Test Task 22 *****
  11: ***** Test Task 33 *****
  12: ***** Test Task 11 *****
  12: ***** Test Task 22 *****
  12: ***** Test Task 33 *****
  13: ***** Test Task 11 *****
  13: ***** Test Task 22 *****
  13: ***** Test Task 33 *****
  14: ***** Test Task 11 *****
  14: ***** Test Task 22 *****
  14: ***** Test Task 33 *****
  15: ***** Test Task 11 *****
  15: ***** Test Task 22 *****
  15: ***** Test Task 33 *****
  16: ***** Test Task 11 *****
  16: ***** Test Task 22 *****
  16: ***** Test Task 33 *****
  17: ***** Test Task 11 *****
  17: ***** Test Task 22 *****
  17: ***** Test Task 33 *****
  18: ***** Test Task 11 *****
  18: ***** Test Task 22 *****
  18: ***** Test Task 33 *****
  19: ***** Test Task 11 *****
  19: ***** Test Task 22 *****
  19: ***** Test Task 33 *****
  20: ***** Test Task 11 *****
  20: ***** Test Task 22 *****
